ID,Name_lang,NameAlt_lang,Title_lang,TitleAlt_lang,Classification,CreatureType,CreatureFamily,StartAnimState,DisplayID[0],DisplayID[1],DisplayID[2],DisplayID[3],DisplayProbability[0],DisplayProbability[1],DisplayProbability[2],DisplayProbability[3],AlwaysItem[0],AlwaysItem[1],AlwaysItem[2]
3,Flesh Eater,,,,0,6,0,0,987,0,0,0,1,1,1,1,0,0,0
89,Infernal,,,,0,3,108,0,87778,0,0,0,1,1,1,1,0,0,0
304,Felsteed,,,,0,3,0,0,2346,0,0,0,1,1,1,1,0,0,0
305,White Stallion,,,,0,1,0,0,2410,0,0,0,1,1,1,1,0,0,0
416,Imp,,,,0,3,23,0,64799,0,0,0,1,1,1,1,0,0,0
417,Felhunter,,,,0,3,15,0,77398,0,0,0,1,1,1,1,0,0,0
444,Lord Piglet,,,,0,14,0,0,22938,0,0,0,1,1,1,1,0,0,0
721,Rabbit,,,,0,8,0,0,328,4626,0,0,1,1,1,1,0,0,0
1748,Highlord Bolvar Fordragon,,,,1,7,0,0,5566,0,0,0,1,1,1,1,2178,143,0
1860,Voidwalker,,,,0,3,16,0,77397,0,0,0,1,1,1,1,0,0,0
1863,Succubus,,,,0,3,17,0,77396,0,0,0,1,1,1,1,0,0,0
2671,Mechanical Squirrel,,,,0,12,0,0,7937,0,0,0,1,1,1,1,0,0,0
2748,Archaedas,,Ancient Stone Watcher,,1,5,0,0,5988,0,0,0,1,1,1,1,2557,0,0
3524,Spirit Wolf,,,,0,1,0,0,1236,0,0,0,1,1,1,1,0,0,0
3771,Bleakheart Hellcaller,,,,0,3,0,0,2013,0,0,0,0,0,0,0,0,0,0
3823,Ghostpaw Runner,,,,0,1,1,0,802,0,0,0,0,0,0,0,0,0,0
3956,Harklan Moongrove,,Alchemy Supplies,,0,7,0,0,4183,0,0,0,0,0,0,0,0,0,0
4075,Rat,,,,0,8,0,0,1141,1418,2176,0,2,2,1,1,0,0,0
4274,Fenrus the Devourer,,,,1,1,0,0,20180,0,0,0,0,0,0,0,0,0,0
4275,Archmage Arugal,,,,1,7,0,0,2353,0,0,0,0,0,0,0,6322,0,0
4780,Black Ram,,,,0,1,0,0,2784,0,0,0,1,1,1,1,0,0,0
5198,Arctic Riding Wolf,,,,0,1,0,0,1166,0,0,0,1,1,1,1,0,0,0
7109,Jadefire Felsworn,,,,0,3,0,0,11334,0,0,0,0,0,0,0,0,0,0
7380,Siamese Cat,,,,0,12,0,0,5585,0,0,0,1,1,1,1,0,0,0
7381,Silver Tabby Cat,,,,0,12,0,0,5555,0,0,0,1,1,1,1,0,0,0
7382,Orange Tabby Cat,,,,0,12,0,0,5554,0,0,0,1,1,1,1,0,0,0
7383,Black Tabby Cat,,,,0,12,0,0,5448,0,0,0,1,1,1,1,0,0,0
7384,Cornish Rex Cat,,,,0,12,0,0,5586,0,0,0,1,1,1,1,0,0,0
7385,Bombay Cat,,,,0,12,0,0,5556,0,0,0,1,1,1,1,0,0,0
7386,White Kitten,,,,0,12,0,0,9990,0,0,0,1,1,1,1,0,0,0
7387,Green Wing Macaw,,,,0,12,0,3,5207,0,0,0,1,1,1,1,0,0,0
7388,Cockatoo,,,,0,12,0,3,6189,0,0,0,1,1,1,1,0,0,0
7389,Senegal,,,,0,12,0,3,6190,0,0,0,1,1,1,1,0,0,0
7390,Cockatiel,,,,0,12,0,3,6191,0,0,0,1,1,1,1,0,0,0
7391,Hyacinth Macaw,,,,0,12,0,3,6192,0,0,0,1,1,1,1,0,0,0
7392,Prairie Chicken,,,,0,12,0,0,304,0,0,0,1,1,1,1,0,0,0
7393,White Plymouth Rock,,,,0,12,0,0,304,0,0,0,1,1,1,1,0,0,0
7394,Ancona Chicken,,,,0,12,0,0,5369,0,0,0,1,1,1,1,0,0,0
7395,Undercity Cockroach,,,,0,12,0,0,2177,0,0,0,1,1,1,1,0,0,0
7543,Dark Whelpling,,,,0,12,0,3,6288,0,0,0,1,1,1,1,0,0,0
7544,Crimson Whelpling,,,,0,12,0,3,6290,0,0,0,1,1,1,1,0,0,0
7545,Emerald Whelpling,,,,0,12,0,3,6291,0,0,0,1,1,1,1,0,0,0
7546,Bronze Whelpling,,,,0,12,0,3,6292,0,0,0,1,1,1,1,0,0,0
7547,Azure Whelpling,,,,0,12,0,3,6293,0,0,0,1,1,1,1,0,0,0
7548,Faeling,,,,0,12,0,0,6294,0,0,0,1,1,1,1,0,0,0
7549,Tree Frog,,,,0,12,0,0,6295,0,0,0,1,1,1,1,0,0,0
7550,Wood Frog,,,,0,12,0,0,901,0,0,0,1,1,1,1,0,0,0
7551,Dart Frog,,,,0,12,0,0,6296,0,0,0,1,1,1,1,0,0,0
7552,Island Frog,,,,0,12,0,0,6297,0,0,0,1,1,1,1,0,0,0
7553,Great Horned Owl,,,,0,12,0,3,4615,0,0,0,1,1,1,1,0,0,0
7554,Snowy Owl,,,,0,14,0,3,6298,0,0,0,1,1,1,1,0,0,0
7555,Hawk Owl,,,,0,12,0,3,6299,0,0,0,1,1,1,1,0,0,0
7556,Eagle Owl,,,,0,12,0,3,6300,0,0,0,1,1,1,1,0,0,0
7560,Snowshoe Rabbit,,,,0,12,0,0,328,0,0,0,1,1,1,1,0,0,0
7561,Albino Snake,,,,0,12,0,0,2955,0,0,0,1,1,1,1,0,0,0
7562,Brown Snake,,,,0,12,0,0,2957,0,0,0,1,1,1,1,0,0,0
7563,Blue Racer,,,,0,12,0,0,2956,0,0,0,1,1,1,1,0,0,0
7565,Black Kingsnake,,,,0,12,0,0,1206,0,0,0,1,1,1,1,0,0,0
7566,Scarlet Snake,,,,0,12,0,0,2954,0,0,0,1,1,1,1,0,0,0
7567,Crimson Snake,,,,0,12,0,0,6303,0,0,0,1,1,1,1,0,0,0
7568,Ribbon Snake,,,,0,12,0,0,2954,0,0,0,1,1,1,1,0,0,0
7569,Green Water Snake,,,,0,12,0,0,1986,0,0,0,1,1,1,1,0,0,0
7570,Elven Wisp,,,,0,12,0,0,1824,0,0,0,1,1,1,1,0,0,0
7952,Zjolnir,,Raptor Handler,,0,7,0,0,7037,0,0,0,100,0,0,0,6680,0,0
8376,Mechanical Chicken,,,,0,12,0,0,7920,0,0,0,1,1,1,1,0,0,0
9656,Pet Bombling,,,,0,12,0,0,8909,0,0,0,1,1,1,1,0,0,0
9657,Lil' Smoky,,,,0,12,0,0,8910,0,0,0,1,1,1,1,0,0,0
9662,Sprite Darter Hatchling,,,,0,12,0,3,6294,0,0,0,1,1,1,1,0,0,0
9936,Corrupted Kitten,,,,0,12,0,0,9209,0,0,0,1,1,1,1,0,0,0
10259,Worg Pup,,,,0,12,0,0,9563,9572,0,0,1,0,0,0,0,0,0
10261,Burning Felhound,,,,0,3,0,0,1913,0,0,0,0,0,0,0,0,0,0
10414,Patchwork Horror,,,,1,6,0,0,1693,0,0,0,0,0,0,0,0,0,0
10578,Bom'bay,,Witch Doctor in Training,,0,7,0,0,9911,0,0,0,100,0,0,0,4993,0,0
10598,Smolderweb Hatchling,,,,0,12,0,0,27718,0,0,0,1,1,0,0,0,0,0
11236,Blood Parrot,,,,0,12,0,3,9554,0,0,0,1,1,1,1,0,0,0
11325,Panda Cub,,,,0,12,0,0,10990,0,0,0,1,1,1,1,0,0,0
11326,Mini Diablo,,Lord of Terror,,0,12,0,0,10992,0,0,0,1,1,1,1,0,0,0
11327,Zergling,,,,0,12,0,0,10993,0,0,0,1,1,1,1,0,0,0
11502,Ragnaros,,,,1,4,0,0,11121,0,0,0,0,1,1,1,0,0,0
11822,Moonglade Warden,,,,0,7,0,0,11774,11775,11776,11777,25,25,25,25,14475,0,12523
11859,Doomguard,,,,0,3,19,0,64965,0,0,0,0,0,0,0,0,0,0
12222,Creeping Sludge,,,,1,15,0,0,14350,0,0,0,0,0,0,0,0,0,0
12350,Violet Riding Raptor,,,,0,1,0,0,6473,0,0,0,1,1,1,1,0,0,0
12419,Lifelike Toad,,,,0,12,0,0,901,0,0,0,1,1,1,1,0,0,0
14042,Rytama,,Binder of the Moro'gai,,0,7,0,0,14193,0,0,0,0,0,0,0,0,0,0
14143,Ar'lia,,The Moro'gai,,0,12,0,0,14192,0,0,0,0,0,0,0,0,0,0
14305,Human Orphan,,,,0,12,0,0,338,0,0,0,0,1,1,1,0,0,0
14421,Brown Prairie Dog,,,,0,12,0,0,1072,0,0,0,1,1,1,1,0,0,0
14444,Orcish Orphan,,,,0,12,0,0,14589,0,0,0,0,1,1,1,0,0,0
14505,Dreadsteed,,,,0,3,0,0,14554,0,0,0,1,1,1,1,0,0,0
14629,Loggerhead Snapjaw,,,,0,12,0,0,14657,0,0,0,1,1,1,1,0,0,0
14630,Leatherback Snapjaw,,,,0,12,0,0,14658,0,0,0,1,1,1,1,0,0,0
14631,Olive Snapjaw,,,,0,12,0,0,14659,0,0,0,1,1,1,1,0,0,0
14632,Hawksbill Snapjaw,,,,0,12,0,0,14660,0,0,0,1,1,1,1,0,0,0
14633,Albino Snapjaw,,,,0,12,0,0,14661,0,0,0,1,1,1,1,0,0,0
14744,Frost Wolf Howler,,,,0,1,0,0,92901,0,0,0,1,1,1,1,0,0,0
14755,Tiny Green Dragon,,,,0,12,0,3,14778,0,0,0,1,1,1,1,0,0,0
14756,Tiny Red Dragon,,,,0,12,0,3,14779,0,0,0,1,1,1,1,0,0,0
14878,Jubling,,,,0,12,0,0,14938,0,0,0,1,1,1,1,0,0,0
15186,Murky,,,,0,12,0,0,15369,0,0,0,1,1,1,1,0,0,0
15356,Blue Baby Murloc,,,,0,12,0,0,15393,0,0,0,1,1,1,1,0,0,0
15357,Purple Baby Murloc,,,,0,12,0,0,15397,0,0,0,1,1,1,1,0,0,0
15358,Lurky,,,,0,12,0,0,15398,0,0,0,1,1,1,1,0,0,0
15359,Pink Baby Murloc,,,,0,12,0,0,15396,0,0,0,1,1,1,1,0,0,0
15360,Green Baby Murloc,,,,0,12,0,0,15394,0,0,0,1,1,1,1,0,0,0
15361,Murki,,,,0,12,0,0,15395,0,0,0,1,1,1,1,0,0,0
15429,Disgusting Oozeling,,,,0,12,0,0,15436,0,0,0,1,1,1,1,0,0,0
15548,Spectral Stallion,,,,1,6,0,0,16408,0,0,0,0,0,0,0,0,0,0
15661,Baby Shark,,,,0,12,0,0,15595,0,0,0,1,1,1,1,0,0,0
15698,Father Winter's Helper,,,,0,12,0,0,15660,0,0,0,1,1,1,1,0,0,0
15699,Tranquil Mechanical Yeti,,,,0,12,0,0,10269,0,0,0,1,1,1,1,0,0,0
15705,Winter's Little Helper,,,,0,12,0,0,15663,0,0,0,1,1,1,1,0,0,0
15706,Winter Reindeer,,,,0,12,0,0,15904,0,0,0,1,0,0,0,0,0,0
15710,Tiny Snowman,,,,0,12,0,0,13610,0,0,0,0,0,0,0,0,0,0
16069,Gurky,,,,0,12,0,0,15984,0,0,0,1,1,1,1,0,0,0
16085,Peddlefeet,,,,0,12,0,3,15992,0,0,0,1,1,1,1,0,0,0
16445,Terky,,,,0,12,0,0,15398,0,0,0,1,1,1,1,0,0,0
16456,Poley,,,,0,12,0,0,16189,0,0,0,1,1,1,1,0,0,0
16547,Speedy,,,,0,12,0,0,16259,0,0,0,1,1,1,1,0,0,0
16548,Mr. Wiggles,,,,0,12,0,0,27681,0,0,0,1,1,1,1,0,0,0
16549,Whiskers the Rat,,,,0,12,0,0,2176,0,0,0,1,1,1,1,0,0,0
16628,Auctioneer Caidori,,,,0,7,0,0,16694,0,0,0,1,1,1,1,0,0,0
16701,Spirit of Summer,,,,0,12,0,3,16587,0,0,0,1,1,1,1,0,0,0
16800,Grand Magister Rommath,,,,1,7,0,0,19706,0,0,0,0,0,0,0,29114,0,0
16801,Halduron Brightwing,,Ranger-General of Silvermoon,,1,7,0,0,19707,0,0,0,0,0,0,0,24324,24324,24326
17026,Grom Hellscream,,Chieftain of the Warsong Clan,,1,7,0,0,21575,0,0,0,0,0,0,0,24409,0,0
17252,Felguard,,,,0,3,29,0,64802,0,0,0,1,1,1,1,22199,0,0
17254,Ash'ana,,,,0,12,0,0,37949,0,0,0,1,1,1,1,0,0,0
17255,Hippogryph Hatchling,,,,0,12,0,3,16943,0,0,0,1,0,0,0,0,0,0
18063,Garrosh,,Son of Hellscream,,1,7,0,0,17452,0,0,0,0,0,0,0,23428,23428,0
18075,Mannoroth,,,,1,3,0,0,17469,0,0,0,0,0,0,0,28365,0,0
18377,Swift Red Wind Rider,,,,0,1,0,0,17719,0,0,0,0,0,0,0,0,0,0
18381,Netherwhelp,,,,0,12,0,3,17723,0,0,0,1,1,1,1,0,0,0
18839,Magical Crawdad,,,,0,12,0,0,18269,0,0,0,1,1,1,1,0,0,0
19044,Gruul the Dragonkiller,,,,1,5,0,0,18698,0,0,0,0,1,1,1,0,0,0
19622,Kael'thas Sunstrider,,Lord of the Blood Elves,,1,7,0,0,20023,0,0,0,1,1,1,1,0,0,0
19935,Soridormi,,The Scale of Sands,,1,2,0,0,20222,0,0,0,0,0,0,0,30441,0,0
20245,Mr. Kitty,,,,0,12,0,0,9989,0,0,0,0,0,0,0,0,0,0
20246,Manny,,,,0,12,0,0,9990,0,0,0,1,1,1,1,0,0,0
20247,Kitty,,,,0,12,0,0,5556,0,0,0,1,1,1,1,0,0,0
20350,Kel'Thuzad,,The Kirin Tor,,0,7,0,0,19548,0,0,0,0,0,0,0,0,0,0
20408,Mana Wyrmling,,,,0,12,0,3,19600,0,0,0,1,1,1,1,0,0,0
20472,Brown Rabbit,,,,0,12,0,0,4626,0,0,0,1,1,1,1,0,0,0
21008,Yellow Moth,,,,0,12,0,3,19985,0,0,0,1,1,1,1,0,0,0
21009,Red Moth,,,,0,12,0,3,19986,0,0,0,1,1,1,1,0,0,0
21010,Blue Moth,,,,0,12,0,3,19987,0,0,0,1,1,1,1,0,0,0
21018,White Moth,,,,0,12,0,3,19999,0,0,0,0,0,0,0,0,0,0
21055,Golden Dragonhawk Hatchling,,,,0,12,0,3,20026,0,0,0,1,1,1,1,0,0,0
21056,Blue Dragonhawk Hatchling,,,,0,12,0,3,20029,0,0,0,1,1,1,1,0,0,0
21063,Silver Dragonhawk Hatchling,,,,0,12,0,3,20037,0,0,0,1,1,1,1,0,0,0
21064,Red Dragonhawk Hatchling,,,,0,12,0,3,20027,0,0,0,1,1,1,1,0,0,0
21076,Firefly,,,,0,12,0,3,20042,0,0,0,1,1,1,1,0,0,0
21266,Ravager Hatchling,,,,0,12,0,0,20155,20160,0,0,1,1,0,0,0,0,0
22174,Trigul,,,,1,1,0,0,18194,0,0,0,1,1,1,1,0,0,0
22328,Toy RC Mortar Tank,,,,0,12,0,0,15382,0,0,0,0,0,0,0,0,0,0
22445,Miniwing,,,,0,12,0,3,20996,0,0,0,1,1,1,1,0,0,0
22484,Zeppit,,,,0,12,0,0,21048,0,0,0,0,0,0,0,0,0,0
22514,White Riding Talbuk,,,,0,1,0,0,21076,0,0,0,1,1,1,1,0,0,0
22522,Super Thrall,,,,1,7,0,0,4527,0,0,0,1,1,1,1,21679,0,0
22817,Blood Elf Orphan,,,,0,12,0,0,19315,0,0,0,1,1,1,1,0,0,0
22818,Draenei Orphan,,,,0,12,0,0,19091,0,0,0,1,1,1,1,0,0,0
