ID,Directory,MapName_lang,InternalName,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,Corpse[0],Corpse[1],MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,WdtFileDataID,Flags[0],Flags[1]
0,Azeroth,Eastern Kingdoms,Eastern Kingdoms,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,17,804940,775971,159399517,134479888
1,Kalimdor,Kalimdor,Kalimdor,,,,,0,0,1,0,0,0,3,-1,-1,-1,0,1,-1,0,17,804935,782779,159399517,134479888
13,test,Art Team Map,Art Team Map,,,,,0,0,2,0,0,3817,0,-1,-1,-1,0,1,-1,0,0,0,857697,1555,134480920
25,ScottTest,Scott Test,Scott Test,,,,,0,0,2,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,863335,1555,134479880
30,PVPZone01,Alterac Valley,Alterac Valley,"Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).","Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).",Slay the enemy leader,"- Capture enemy towers and bunkers
- Slay the enemy leader
- Reduce the enemy reinforcements to 0",0,0,1,3,0,0,104,-1,-1,-1,0,1,-1,0,0,0,790112,1553,135004168
33,Shadowfang,Shadowfang Keep,Shadowfang Keep,,,,,-230.989,1571.57,1,1,0,0,204,-1,-1,-1,0,1,0,10,0,0,790796,1565,134479880
34,StormwindJail,Stormwind Stockade,Stormwind Stockade,,,,,-8762.379,848.0103,2,1,0,717,194,-1,-1,-1,0,1,0,10,0,0,791060,1553,134479880
35,StormwindPrison,<unused>StormwindPrison,<unused>StormwindPrison,,,,,-8762.477,848.04913,2,0,0,717,23,-1,-1,-1,0,1,0,0,0,0,870849,1555,134479880
36,DeadminesInstance,Deadmines,Deadmines,,,,,-11207.8,1681.15,1,1,0,0,142,-1,-1,-1,0,1,0,10,0,0,780605,1553,134479880
37,PVPZone02,Azshara Crater,Azshara Crater,Crush the Alliance!,Defend yourself from the onslaught of the Horde!,,,0,0,1,0,0,0,25,-1,-1,-1,0,1,-1,0,0,0,861092,1555,134479880
42,Collin,Collin's Test,Collin's Test,,,,,0,0,2,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,863984,1555,134479880
43,WailingCaverns,Wailing Caverns,Wailing Caverns,,,,,-751.1312,-2209.2405,2,1,0,718,143,-1,-1,-1,0,1,1,10,0,0,791429,1553,134479880
44,Monastery,<unused> Monastery,<unused> Monastery,,,,,2892.4133,-811.24133,2,1,0,0,42,-1,-1,-1,0,1,0,10,0,0,865519,1555,134479880
47,RazorfenKraulInstance,Razorfen Kraul,Razorfen Kraul,,,,,-4459.449,-1660.2118,1,1,0,0,188,-1,-1,-1,0,1,1,10,0,0,790640,1553,134479880
48,Blackfathom,Blackfathom Deeps,Blackfathom Deeps,,,,,4249.1206,748.3871,2,1,0,719,196,-1,-1,-1,0,1,1,10,0,0,780169,1553,134479880
70,Uldaman,Uldaman,Uldaman,,,,,-6060.1816,-2954.9973,2,1,0,1337,144,-1,-1,-1,0,1,0,10,0,0,791372,1553,134479880
90,GnomeragonInstance,Gnomeregan,Gnomeregan,,,,,-5162.6616,931.59875,2,1,0,721,193,-1,-1,-1,0,1,0,10,0,0,782773,1553,134479880
109,SunkenTemple,Sunken Temple,Sunken Temple,,,,,-10291.7,-3987.63,2,1,0,1477,191,-1,-1,-1,0,1,0,10,0,0,791166,1553,134479880
129,RazorfenDowns,Razorfen Downs,Razorfen Downs,,,,,-4662.883,-2535.8716,1,1,0,0,145,-1,-1,-1,0,1,1,10,0,0,790517,1553,134479880
169,EmeraldDream,Emerald Dream,Emerald Dream,,,,,0,0,1,2,0,0,0,-1,-1,-1,0,1,-1,40,0,0,780817,1553,134479880
189,MonasteryInstances,Scarlet Monastery of Old,Scarlet Monastery of Old,,,,,2892.2354,-811.2637,1,1,0,0,190,-1,-1,-1,0,1,0,10,0,0,788662,1553,134479880
209,TanarisInstance,Zul'Farrak,Zul'Farrak,,,,,-6790.5767,-2891.278,1,1,0,0,146,-1,-1,-1,0,1,1,10,0,0,791169,1553,134479880
229,BlackRockSpire,Lower Blackrock Spire,Lower Blackrock Spire,,,,,-7522.527,-1233.0415,2,1,0,1583,189,-1,-1,-1,0,1,0,10,0,0,780175,1537,134479880
230,BlackrockDepths,Blackrock Depths,Blackrock Depths,,,,,-7178.0947,-928.63947,2,1,0,1584,103,-1,-1,-1,0,1,0,5,0,0,780172,1553,134479880
249,OnyxiaLairInstance,Onyxia's Lair,Onyxia's Lair,,,,,-4753.3125,-3752.4211,2,2,0,2159,61,-1,-1,-1,0,1,1,40,0,0,789922,34305,134479880
269,CavernsOfTime,Opening of the Dark Portal,Opening of the Dark Portal,,,,,-8750.827,-4193.513,1,1,1,0,212,-1,-1,-1,0,1,1,5,0,0,829736,1553,134479880
289,SchoolofNecromancy,Scholomance OLD,Scholomance OLD,,,,,1274.7812,-2552.564,1,1,0,0,102,-1,-1,-1,0,1,0,5,0,0,790713,1553,134479880
309,Zul'gurub,Ancient Zul'Gurub,Ancient Zul'Gurub,,,,,-11916.06,-1224.5771,1,1,0,1977,161,-1,-1,-1,0,1,0,20,0,0,791432,525841,134479880
329,Stratholme,Stratholme,Stratholme,,,,,3392.317,-3378.4832,1,1,0,0,101,-1,-1,-1,0,1,0,5,0,0,791063,1553,134479880
349,Mauradon,Maraudon,Maraudon,,,,,-1432.6971,2924.9775,2,1,0,2100,81,-1,-1,-1,0,1,1,10,0,0,788656,1553,134479880
369,DeeprunTram,Deeprun Tram,Deeprun Tram,,,,,-8349.224,517.34796,2,0,0,2257,205,-1,-1,-1,0,1,0,0,0,0,780788,268437009,134480384
389,OrgrimmarInstance,Ragefire Chasm,Ragefire Chasm,,,,,1816.7559,-4423.3716,2,1,0,2437,195,-1,-1,-1,0,1,1,10,0,0,789981,1553,134479880
409,MoltenCore,Molten Core,Molten Core,,,,,-7510.565,-1036.6981,2,2,0,2717,192,-1,-1,-1,0,1,0,40,0,0,788659,1553,134479880
429,DireMaul,Dire Maul,Dire Maul,,,,,-3908.03,1130,2,1,0,2557,82,-1,-1,-1,0,1,1,5,0,0,780814,1537,134479880
449,AlliancePVPBarracks,Alliance PVP Barracks,Alliance PVP Barracks,,,,,0,0,2,0,0,2918,181,-1,-1,-1,0,1,-1,0,0,0,775968,1553,134479880
450,HordePVPBarracks,Horde PVP Barracks,Horde PVP Barracks,,,,,0,0,2,0,0,2917,182,-1,-1,-1,0,1,-1,0,0,0,782776,1553,134479880
451,development,Development Land,Development Land,,,,,0,0,1,0,3,0,21,-1,-1,-1,0,1,-1,0,0,0,857684,134219359,134479880
469,BlackwingLair,Blackwing Lair,Blackwing Lair,,,,,-7663.4126,-1218.6665,1,2,0,2677,141,-1,-1,-1,0,1,0,40,0,0,780178,1553,134479880
489,PVPZone03,Classic Warsong Gulch,Classic Warsong Gulch,"A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.",Capture the enemy flag,"- Defend your flag
- Capture the enemy flag
- Most recent capture wins",0,0,1,3,0,3277,122,-1,-1,-1,0,1,-1,0,0,0,790291,1553,135004160
509,AhnQiraj,Ruins of Ahn'Qiraj,Ruins of Ahn'Qiraj,,,,,-8114.4644,1526.3657,1,2,0,3429,184,-1,-1,-1,0,1,1,20,0,0,775637,1553,134479880
529,PVPZone04,Classic Arathi Basin,Classic Arathi Basin,"The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

Arathi Basin is a 15 vs 15 domination battleground, where each side attempts to control the Stables, Blacksmith, Mine, Lumbermill and Farm for as long as possible.

The Defilers' elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south.

Meanwhile, the League of Arathor seek to reclaim lost lands for their benefactors in Stormwind.","The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

Arathi Basin is a 15 vs 15 domination battleground, where each side attempts to control the Stables, Blacksmith, Mine, Lumbermill and Farm for as long as possible.

The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind.

Meanwhile, the Defilers' elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south.",Capture the objectives,"- Capture and hold the objectives
- Earn 1500 resources",0,0,1,3,0,3358,183,-1,-1,-1,0,1.25,-1,0,0,0,790377,1553,135004160
530,Expansion01,Outland,Outland,,,,,0,0,1,0,1,0,198,-1,-1,-1,0,1,-1,0,0,804943,828395,1553,134479880
531,AhnQirajTemple,Ahn'Qiraj Temple,Ahn'Qiraj Temple,,,,,-8111.724,1526.7858,1,2,0,3428,185,-1,-1,-1,0,1,1,40,0,0,775840,1553,134479880
532,Karazahn,Karazhan,Karazhan,,,,,-11110.407,-2004.0653,1,2,1,3457,200,-1,-1,-1,0,1,0,10,0,0,834192,1553,134479880
533,Stratholme Raid,Naxxramas,Naxxramas,,,,,0,0,1,2,2,3456,197,-1,-1,-1,0,1,-1,25,0,0,827115,34321,134479880
534,HyjalPast,The Battle for Mount Hyjal,The Battle for Mount Hyjal,,,,,-8178.508,-4182.0503,1,2,1,616,212,-1,-1,-1,0,1,1,25,0,0,831824,1553,134479880
540,HellfireMilitary,Hellfire Citadel: The Shattered Halls,Hellfire Citadel: The Shattered Halls,,,,,-306.75818,3064.4355,2,1,1,3714,199,-1,-1,-1,0,1,530,5,0,0,831277,1553,134479880
542,HellfireDemon,Hellfire Citadel: The Blood Furnace,Hellfire Citadel: The Blood Furnace,,,,,-295.41934,3151.9927,2,1,1,3713,199,-1,-1,-1,0,1,530,5,0,0,830642,1553,134479880
