ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,Most gold ever owned,0,0,4,0,0,0
3,Most gold ever owned:,2,0,0,4224,1,8
5,Mounts owned,0,0,4,0,0,0
6,Number of mounts,5,0,0,4787,1,0
8,Use Weighted Jack-o'-Lanterns to put pumpkin heads on each of the races listed below.,0,0,4,0,0,0
9,Dwarf,8,1,0,5776,3,0
10,Gnome,8,1,0,5772,4,0
11,Blood Elf,8,1,0,5774,1,0
12,Draenei,8,1,0,5775,2,0
13,Human,8,1,0,5777,6,0
14,Night Elf,8,1,0,5778,7,0
15,Orc,8,1,0,5779,8,0
16,Tauren,8,1,0,5780,9,0
17,Troll,8,1,0,5781,10,0
18,Undead,8,1,0,5782,11,0
19,Worgen,8,1,0,17854,12,0
20,Goblin,8,1,0,17855,5,0
22,Duels lost,0,0,4,0,0,0
23,Duels lost,22,0,0,3630,1,0
25,Total deaths to Lich King 25-player raid bosses,0,0,5,0,0,0
26,XT-002 Deconstructor,25,0,0,11019,25,0
27,Freya,25,0,0,11027,33,0
28,Mimiron,25,0,0,11028,34,0
29,General Vezax,25,0,0,11029,35,0
30,Yogg-Saron,25,0,0,11030,36,0
31,Algalon the Observer,25,0,0,11031,37,0
32,Emalon the Storm Watcher,25,0,0,11032,38,0
33,Flame Leviathan,25,0,0,11016,22,0
34,Razorscale,25,0,0,11017,23,0
35,Ignis the Furnace Master,25,0,0,11018,24,0
36,Auriaya,25,0,0,11024,30,0
37,Hodir,25,0,0,11025,31,0
38,Steelbreaker,25,0,0,11020,26,0
39,Stormcaller Brundir,25,0,0,11022,28,0
40,Kologarn,25,0,0,11023,29,0
41,Thaddius,25,0,0,7839,13,0
42,Thane Korth'azz,25,0,0,7845,7,0
43,Patchwerk,25,0,0,7838,14,0
44,Sapphiron,25,0,0,7840,12,0
45,Kel'Thuzad,25,0,0,7841,11,0
46,Lady Blaymeux,25,0,0,7842,10,0
47,Baron Rivendare,25,0,0,7843,9,0
48,Noth the Plaguebringer,25,0,0,7837,15,0
49,Heigan the Unclean,25,0,0,7833,19,0
50,Archavon the Stone Watcher,25,0,0,7848,4,0
51,Anub'Rekhan,25,0,0,7828,1,0
52,Gluth,25,0,0,7829,21,0
53,Gothik the Harvester,25,0,0,7830,2,0
54,Grand Widow Faerlina,25,0,0,7831,20,0
55,Grobbulus,25,0,0,7832,3,0
56,Instructor Razuvious,25,0,0,7834,18,0
57,Loatheb,25,0,0,7835,17,0
58,Maexxna,25,0,0,7836,16,0
59,Sartharion,25,0,0,7846,6,0
60,Anub'arak,25,0,0,13296,44,0
61,Lady Deathwhisper,25,0,0,13298,46,0
62,Toravon the Ice Watcher,25,0,0,13291,39,0
63,Rotface,25,0,0,13304,52,0
